District,Auburn,Bellevue,Enumclaw,Federal Way,Fife,Highline,Issaquah,Kent,Lake Washington,Mercer Island,Northshore,Renton,Riverview,Seattle,Shoreline,Skykomish,Snoqualmie Valley,Tahoma,Tukwila,Vashon Island,Total_Houses
98144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
98146,0,0,0,0,0,0.8093328116,0,0,0,0,0,0,0,0.1906671884,0,0,0,0,0,0,1
98148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98155,0,0,0,0,0,0,0,0,0,0,0.001941747573,0,0,0,0.9980582524,0,0,0,0,0,1
98166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98168,0,0,0,0,0,0.6787337533,0,0,0,0,0,0,0,0.0007176461207,0,0,0,0,0.3205486006,0,1
98177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4259717752,0.5740282248,0,0,0,0,0,1
98178,0,0,0,0,0,0,0,0,0,0,0,0.6781485468,0,0.2789020452,0,0,0,0,0.04294940797,0,1
98188,0,0,0,0,0,0.7032834622,0,0.0009037051913,0,0,0,0.001204940255,0,0,0,0,0,0,0.2946078924,0,1
98198,0,0,0,0.1592643997,0,0.8246877169,0,0.01604788341,0,0,0,0,0,0,0,0,0,0,0,0,1
98199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
